method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,1,7.169000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,2,7.163000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,3,7.161000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,4,6.804000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,5,6.490000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,1,6.567000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,2,6.425000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,3,6.475000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,4,6.438000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,5,6.406000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
