method,family,M,p,unroll,prefetch,block,topk,latency_ms,recall,encode_ms,lut_ms,scan_ms,select_ms,rerank_ms,build_time_sec,index_size_mb
PQ-SDC-M16-coarse,sdc,16,0,1,0,0,coarse-only,4.661977,0.324000,0.043740,0.000000,2.573240,2.030140,0.000000,1.892556,1.698304
PQ-SDC-M16-coarse,sdc,16,0,1,0,0,coarse-only,8.424133,0.324000,0.092770,0.000000,4.754960,3.549550,0.000000,8.658510,1.698304
PQ-SDC-M16-coarse,sdc,16,0,1,0,0,coarse-only,7.010354,0.324000,0.081220,0.000000,3.900540,2.997850,0.000000,8.607505,1.698304
PQ-SDC-M16-p100,sdc,16,100,1,0,0,nth-rerank,1.542532,0.810000,0.014540,0.000000,0.784460,0.716820,0.025220,1.463594,1.698304
PQ-SDC-M16-p100,sdc,16,100,1,0,0,nth-rerank,1.642035,0.810000,0.015430,0.000000,0.839050,0.759190,0.026070,1.377065,1.698304
PQ-SDC-M16-p100,sdc,16,100,1,0,0,nth-rerank,1.504094,0.810000,0.016270,0.000000,0.765810,0.692490,0.026810,1.354901,1.698304
PQ-SDC-M16-p500,sdc,16,500,1,0,0,nth-rerank,1.951122,0.980000,0.018850,0.000000,0.966450,0.855350,0.107830,1.611914,1.698304
PQ-SDC-M16-p500,sdc,16,500,1,0,0,nth-rerank,1.940822,0.980000,0.018300,0.000000,0.949930,0.866720,0.103220,1.834276,1.698304
PQ-SDC-M16-p500,sdc,16,500,1,0,0,nth-rerank,1.859434,0.980000,0.018460,0.000000,0.918390,0.822200,0.097010,1.671595,1.698304
PQ-SDC-M16-p1000,sdc,16,1000,1,0,0,nth-rerank,1.952821,0.997000,0.016170,0.000000,0.918100,0.842440,0.173760,1.726203,1.698304
PQ-SDC-M16-p1000,sdc,16,1000,1,0,0,nth-rerank,2.196291,0.997000,0.020880,0.000000,1.035760,0.943160,0.193290,1.771006,1.698304
PQ-SDC-M16-p1000,sdc,16,1000,1,0,0,nth-rerank,1.815736,0.997000,0.015000,0.000000,0.851680,0.776770,0.168940,1.543371,1.698304
PQ-SDC-M16-p2000,sdc,16,2000,1,0,0,nth-rerank,2.021105,0.999000,0.017380,0.000000,0.891630,0.796990,0.312490,1.655696,1.698304
PQ-SDC-M16-p2000,sdc,16,2000,1,0,0,nth-rerank,1.956338,0.999000,0.015420,0.000000,0.863260,0.805180,0.270130,1.701197,1.698304
PQ-SDC-M16-p2000,sdc,16,2000,1,0,0,nth-rerank,1.977572,0.999000,0.015900,0.000000,0.859190,0.790260,0.308490,1.603152,1.698304
PQ-SDC-M16-p5000,sdc,16,5000,1,0,0,nth-rerank,2.592072,1.000000,0.018770,0.000000,0.956280,0.872090,0.741030,1.720585,1.698304
PQ-SDC-M16-p5000,sdc,16,5000,1,0,0,nth-rerank,2.926395,1.000000,0.021450,0.000000,1.097900,1.009910,0.793220,1.781435,1.698304
PQ-SDC-M16-p5000,sdc,16,5000,1,0,0,nth-rerank,2.825706,1.000000,0.019160,0.000000,1.049930,0.989250,0.763090,1.863235,1.698304
FastScan-ADC-M16-p500-b16,fsadc,16,500,1,0,16,u8lut-block,2.128896,1.000000,0.000000,0.032410,1.100510,0.891660,0.101420,1.888144,3.298304
FastScan-ADC-M16-p500-b16,fsadc,16,500,1,0,16,u8lut-block,2.363170,1.000000,0.000000,0.034710,1.220780,0.993020,0.110630,1.946878,3.298304
FastScan-ADC-M16-p500-b16,fsadc,16,500,1,0,16,u8lut-block,2.393734,1.000000,0.000000,0.035020,1.242580,0.990150,0.120980,1.810285,3.298304
FastScan-ADC-M16-p500-b32,fsadc,16,500,1,0,32,u8lut-block,2.233316,1.000000,0.000000,0.039370,1.029150,1.046920,0.113540,1.876595,3.298304
FastScan-ADC-M16-p500-b32,fsadc,16,500,1,0,32,u8lut-block,1.886278,1.000000,0.000000,0.031560,0.873630,0.881090,0.097660,1.827348,3.298304
FastScan-ADC-M16-p500-b32,fsadc,16,500,1,0,32,u8lut-block,1.779344,1.000000,0.000000,0.030310,0.826980,0.821260,0.097440,1.694369,3.298304
FastScan-ADC-M16-p500-b64,fsadc,16,500,1,0,64,u8lut-block,2.098833,1.000000,0.000000,0.034870,0.975060,0.977760,0.108170,1.898873,3.298816
FastScan-ADC-M16-p500-b64,fsadc,16,500,1,0,64,u8lut-block,1.952808,1.000000,0.000000,0.031810,0.900340,0.929740,0.086810,1.810645,3.298816
