experiment,method,kernel,platform,mpi_size,nodes,ppn,nthreads,thread_model,comm,nbase,nq,k,nlist,nprobe,ef,latency_ms,recall@100,build_sec,distribute_ms,search_ms,comm_ms,merge_ms,total_ms,work_imbalance,mpi_thread_required,mpi_thread_provided,notes
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,32,64,0.202994,0.482800,1.073401,62.146664,51.732063,9.881258,8.316040,60.898304,1.027334,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,64,64,0.297642,0.495333,1.052964,59.599638,80.115080,15.649557,8.276701,89.292526,1.015314,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,64,64,1.270193,0.493700,4.235310,51.421881,374.864340,0.182152,6.010771,381.057978,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,nonblocking,50000,300,100,512,64,64,1.295203,0.493700,4.249746,51.213980,382.202864,0.310421,6.046295,388.561010,1.000000,1,1,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,p2p,50000,300,100,512,64,64,1.264366,0.493700,4.243144,67.680836,373.015881,0.190258,6.101608,379.309654,1.000000,1,1,ivf-comm=p2p-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,onesided,50000,300,100,512,64,64,1.259673,0.493700,4.255388,54.021597,371.282578,0.590801,6.027937,377.902031,1.000000,1,1,ivf-comm=onesided-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,openmp,nonblocking,50000,300,100,512,64,64,1.294670,0.493700,4.266046,51.867247,381.958723,0.275135,6.165981,388.401031,1.000000,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,1,openmp,nonblocking,50000,300,100,512,64,64,0.481114,0.491833,22.482967,51.185369,138.144016,0.242472,5.946636,144.334078,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,1,stdthread,nonblocking,50000,300,100,512,64,64,0.504467,0.491833,22.481654,69.430351,144.941807,0.323534,6.074190,151.340008,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,2,openmp,nonblocking,50000,300,100,512,64,64,0.712063,0.493700,4.254515,50.899267,207.092047,0.179529,6.346703,213.618994,1.000000,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,2,openmp,nonblocking,50000,300,100,512,64,64,0.258888,0.491833,22.615720,52.364826,71.240902,0.233889,6.191015,77.666521,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,2,stdthread,nonblocking,50000,300,100,512,64,64,0.289194,0.491833,22.081741,68.312645,80.177069,0.312567,6.268024,86.758137,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,nonblocking,50000,300,100,512,64,64,1.180269,0.493700,4.268716,52.288294,347.810745,0.202894,6.066322,354.080677,1.000000,3,3,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,scalar,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,512,64,8.225710,0.502733,0.000002,49.131393,2461.427450,0.287056,5.997181,2467.713118,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,scalar,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,64,64,2.237884,0.493700,21.671234,51.107407,664.833784,0.161886,6.368399,671.365261,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,64,64,0.579543,0.494900,2.107240,63.302755,166.531324,5.894423,6.851673,173.862934,1.013086,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,64,0.574421,0.494900,2.104225,47.706127,164.995432,19.988775,6.827831,172.326326,1.013086,1,1,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,p2p,50000,300,100,512,64,64,0.583892,0.494900,2.112636,61.919212,167.888880,0.646353,6.804705,175.167561,1.013086,1,1,ivf-comm=p2p-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,onesided,50000,300,100,512,64,64,0.530186,0.494900,2.117572,47.899961,151.046276,2.405643,6.757498,159.055948,1.013086,1,1,ivf-comm=onesided-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,openmp,nonblocking,50000,300,100,512,64,64,0.532964,0.494900,2.095287,44.600487,152.975798,3.970146,6.761551,159.889221,1.013086,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,2,1,2,1,openmp,nonblocking,50000,300,100,512,64,64,0.390915,0.498967,9.035756,47.385216,110.353947,5.282164,6.746292,117.274523,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,64,0.428975,0.498967,9.008826,49.417734,121.821880,9.909868,6.672382,128.692627,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,2,openmp,nonblocking,50000,300,100,512,64,64,0.332251,0.494900,2.097324,65.031290,91.955900,1.879930,7.155657,99.675417,1.013086,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,2,1,2,2,openmp,nonblocking,50000,300,100,512,64,64,0.247021,0.498967,9.220647,47.037840,66.956043,3.897667,6.931543,74.106216,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,2,1,2,2,stdthread,nonblocking,50000,300,100,512,64,64,0.260664,0.498967,8.985974,46.516180,71.070433,2.102613,6.891727,78.199148,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,64,0.591979,0.494900,2.109131,62.967062,170.190096,21.672487,6.872177,177.593708,1.013086,3,3,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,scalar,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,512,64,4.047697,0.502733,0.000003,59.752703,1207.202435,15.102625,6.851673,1214.308977,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,scalar,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,64,64,1.067676,0.494900,10.669085,47.000170,313.250303,11.603117,6.881237,320.302725,1.013086,1,1,ivf-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,64,64,0.296230,0.495333,1.052481,58.481932,80.156326,15.434980,8.310080,88.868856,1.015314,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,nonblocking,50000,300,100,512,64,64,0.288043,0.495333,1.055478,44.235229,77.814579,14.331341,8.255959,86.412907,1.015314,1,1,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,p2p,50000,300,100,512,64,64,0.303582,0.495333,1.045302,60.317278,81.785202,18.220186,8.365393,91.074705,1.015314,1,1,ivf-comm=p2p-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,onesided,50000,300,100,512,64,64,0.297706,0.495333,1.049465,45.058966,79.746962,15.575886,8.303165,89.311838,1.015314,1,1,ivf-comm=onesided-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,openmp,nonblocking,50000,300,100,512,64,64,0.295279,0.495333,1.048264,44.475555,79.819679,14.647245,8.363724,88.583708,1.015314,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,4,1,4,1,openmp,nonblocking,50000,300,100,512,64,64,0.333571,0.501500,3.892089,45.871973,91.499090,4.693031,8.196354,100.071430,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,4,1,4,1,stdthread,nonblocking,50000,300,100,512,64,64,0.329188,0.501500,3.837557,59.387922,90.024710,1.635075,8.268833,98.756313,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,2,openmp,nonblocking,50000,300,100,512,64,64,0.206543,0.495333,1.048123,45.943975,53.146839,15.920639,8.457899,61.962843,1.015314,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,4,1,4,2,openmp,nonblocking,50000,300,100,512,64,64,0.249188,0.501500,3.841581,44.724464,65.789461,21.395683,8.556843,74.756384,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,hnsw,simd,x86_or_cluster,4,1,4,2,stdthread,nonblocking,50000,300,100,512,64,64,0.241183,0.501500,3.867501,61.294556,63.286066,6.834030,8.472443,72.354794,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,nonblocking,50000,300,100,512,64,64,0.296642,0.495333,1.051153,45.520067,80.345154,15.225887,8.316278,88.992596,1.015314,3,3,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,scalar,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,512,64,1.950561,0.502733,0.000002,46.322823,576.558113,12.325287,8.193493,585.168362,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,scalar,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,64,64,0.558221,0.495333,5.333326,44.963598,158.765078,13.258219,8.190393,167.466402,1.015314,1,1,ivf-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=64-ef=64;quick
MPI-ANN,multi-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,32,0.385940,0.498967,9.114859,47.880888,108.679533,2.801180,6.656647,115.782022,1.000000,1,1,multi-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=32;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,16,32,0.617613,0.452267,4.619349,47.811985,178.302050,8.438110,6.747007,185.283899,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=32;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,32,32,1.021530,0.480867,3.686200,47.153473,299.276352,7.217884,6.713867,306.458950,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=32;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,32,1.730942,0.494833,3.757255,56.354046,511.912107,5.442142,6.780148,519.282579,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=32;quick
MPI-ANN,multi-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,64,0.332650,0.498967,7.788171,44.938803,92.520237,5.518198,6.759405,99.794865,1.000000,1,1,multi-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,16,64,0.602803,0.452267,3.794450,44.968843,173.839569,7.967710,6.779671,180.840969,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,32,64,1.017441,0.480867,3.808279,55.418253,298.211336,9.807587,6.775141,305.232286,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,64,1.782099,0.494833,3.656520,74.018478,527.664661,12.659550,6.792784,534.629822,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,multi-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,128,0.423804,0.500133,8.085830,56.043625,120.157242,7.117510,6.801605,127.141237,1.000000,1,1,multi-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=128;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,16,128,0.606795,0.452300,3.712889,44.167757,175.224781,1.092196,6.645679,182.038546,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=128;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,32,128,1.036523,0.480900,3.679219,44.960737,303.821087,0.725031,6.696224,310.956955,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=128;quick
MPI-ANN,ivf-hnsw,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,50000,300,100,512,64,128,1.795693,0.494867,3.788718,43.443680,531.359434,7.872581,6.770611,538.707972,1.000000,1,1,ivf-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=128;quick
MPI-ANN,multi-hnsw,simd,x86_or_cluster,4,1,4,1,stdthread,nonblocking,50000,300,100,512,64,32,0.309641,0.501500,3.629695,41.289806,84.129810,5.980492,8.129120,92.892408,1.000000,1,1,multi-hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=32;quick
