experiment,method,kernel,platform,mpi_size,nodes,ppn,nthreads,thread_model,comm,nbase,nq,k,nlist,nprobe,ef,latency_ms,recall@100,build_sec,distribute_ms,search_ms,comm_ms,merge_ms,total_ms,work_imbalance,mpi_thread_required,mpi_thread_provided,notes
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,64,64,0.470836,0.985680,2.508026,89.001200,457.105200,0.193000,13.537700,470.836200,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,128,64,0.765785,0.996520,2.317530,82.587700,751.470000,0.171200,14.143400,765.784900,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,256,64,1.463587,0.999610,1.863328,48.483100,1447.164000,0.208800,16.213800,1463.586800,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,512,64,0.746096,1.000000,0.000000,39.840800,731.044500,3.479400,14.841200,746.096300,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,16,64,0.088558,0.911160,0.886952,44.180000,74.130000,2.258900,14.240300,88.557700,1.006516,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,32,64,0.132519,0.960730,0.871822,40.538600,117.813500,0.621500,14.550000,132.518900,1.007670,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,64,64,0.203807,0.985960,0.888873,39.479900,188.623800,4.156400,14.640000,203.807300,1.008250,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,128,64,0.342144,0.996550,0.871609,38.932400,327.404400,1.567700,14.402600,342.144000,1.003753,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,256,64,0.651706,0.999620,0.878174,38.122700,636.993200,7.619300,14.354000,651.706400,1.001685,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,100000,1000,100,512,512,64,0.379633,1.000000,0.000000,38.075600,361.635800,20.939900,17.093300,379.633000,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,100000,1000,100,512,16,64,0.058826,0.913320,0.483567,40.137900,41.610500,2.339400,16.771600,58.825700,1.034362,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,100000,1000,100,512,32,64,0.076918,0.962120,0.487549,38.229300,59.866100,2.750400,16.713800,76.918200,1.027718,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,100000,1000,100,512,64,64,0.111306,0.987480,0.481027,39.340200,93.588300,2.548300,17.340100,111.306100,1.023532,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,100000,1000,100,512,128,64,0.173510,0.996920,0.486950,44.401800,156.747600,1.740200,16.365300,173.509700,1.015306,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,100000,1000,100,512,256,64,0.313898,0.999680,0.488249,38.993400,296.731500,4.720700,16.261100,313.897500,1.006673,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,100000,1000,100,512,512,64,0.192790,1.000000,0.000000,39.651100,171.673700,16.516000,20.198500,192.790000,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,100000,1000,100,512,16,64,0.050736,0.918290,0.293309,42.478700,29.138500,3.550500,20.382400,50.735900,1.031439,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,100000,1000,100,512,32,64,0.057296,0.965420,0.291472,41.739800,36.897500,5.334000,19.355800,57.296200,1.036171,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,100000,1000,100,512,64,64,0.074918,0.989160,0.318584,41.423400,53.934900,7.141500,19.821700,74.917800,1.031830,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,100000,1000,100,512,128,64,0.102353,0.997540,0.303363,40.745900,81.313100,9.443500,20.106500,102.352700,1.020133,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,100000,1000,100,512,256,64,0.160241,0.999830,0.300208,39.421700,139.253900,13.256600,19.730800,160.240500,1.017093,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,64,64,0.408994,0.985680,1.778275,41.181600,393.927500,0.206600,14.859700,408.994000,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,nonblocking,100000,1000,100,512,64,64,0.406817,0.985680,1.740964,40.068800,392.196800,0.221600,14.398200,406.816800,1.000000,1,1,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,p2p,100000,1000,100,512,64,64,0.408996,0.985680,1.700188,39.325600,395.241800,0.178100,13.575800,408.995900,1.000000,1,1,ivf-comm=p2p-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,onesided,100000,1000,100,512,64,64,0.427533,0.985680,1.734311,39.021700,408.511100,5.023200,13.998800,427.533400,1.000000,1,1,ivf-comm=onesided-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,openmp,nonblocking,100000,1000,100,512,64,64,0.435250,0.985680,1.705104,40.853400,421.216400,0.243800,13.789600,435.250000,1.000000,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,1,openmp,nonblocking,100000,1000,100,512,64,64,0.078900,0.954540,6.880155,44.295800,65.098800,0.180100,13.621300,78.900300,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,1,stdthread,nonblocking,100000,1000,100,512,64,64,0.077583,0.954540,6.552834,41.329400,64.350200,0.174800,13.058200,77.583300,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,2,openmp,nonblocking,100000,1000,100,512,64,64,0.196062,0.985680,1.758743,40.757800,182.232800,0.182300,13.646500,196.061900,1.000000,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,2,openmp,nonblocking,100000,1000,100,512,64,64,0.047329,0.954540,6.149569,39.384300,32.133800,0.175100,15.020300,47.329400,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,2,stdthread,nonblocking,100000,1000,100,512,64,64,0.045663,0.954540,6.292562,43.688400,32.328200,0.177200,13.157700,45.663400,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,4,openmp,nonblocking,100000,1000,100,512,64,64,0.104501,0.985680,1.722146,39.073200,90.072600,0.178900,14.248900,104.500700,1.000000,1,1,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,4,openmp,nonblocking,100000,1000,100,512,64,64,0.031160,0.954540,6.423050,39.689900,15.572300,0.178900,15.408700,31.160100,1.000000,1,1,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,hnsw,simd,x86_or_cluster,1,1,1,4,stdthread,nonblocking,100000,1000,100,512,64,64,0.032053,0.954540,6.259523,68.072800,16.756800,0.217000,15.079200,32.053300,1.000000,1,1,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,nonblocking,100000,1000,100,512,64,64,0.403546,0.985680,1.712094,39.152000,389.457300,0.190200,13.897800,403.545500,1.000000,3,3,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,flat,scalar,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,512,64,3.039268,1.000000,0.000000,39.569000,3024.607300,0.174300,14.485700,3039.267600,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,scalar,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,64,64,1.265810,0.985680,10.219990,38.772900,1251.525900,0.190800,14.093200,1265.810100,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=scalar-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,100000,1000,100,512,64,64,0.209550,0.985960,0.860014,38.071400,192.185500,2.428400,16.951000,209.549500,1.008250,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,nonblocking,100000,1000,100,512,64,64,0.203971,0.985960,0.883777,36.875000,188.305700,0.417500,15.484700,203.971500,1.008250,1,1,ivf-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,p2p,100000,1000,100,512,64,64,0.210663,0.985960,0.873154,37.116400,195.768600,1.971600,14.663400,210.663400,1.008250,1,1,ivf-comm=p2p-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,onesided,100000,1000,100,512,64,64,0.208691,0.985960,0.860768,43.944500,193.163300,3.364700,15.066000,208.690500,1.008250,1,1,ivf-comm=onesided-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
