experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
Flat-BaseSplit,PrefetchTopK,4,local_p,500,1.781784,1.000000,9.559592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,8,local_p,500,1.008804,1.000000,16.884477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,16,local_p,500,1.171426,1.000000,14.540507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,32,local_p,500,1.417364,1.000000,12.017469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SQ8,SQ8-LUT,1,p,50,17.250884,0.989440,0.987377,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,50.020000,
SQ8,SQ8-LUT,2,p,50,8.609726,0.989440,1.978359,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,42.642000,
SQ8,SQ8-LUT,4,p,50,4.335742,0.989440,3.928538,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,44.920000,
SQ8,SQ8-LUT,8,p,50,3.308544,0.989440,5.148225,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,44.808000,
SQ8,SQ8-LUT,16,p,50,2.703478,0.989440,6.300450,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,72.918000,
SQ8,SQ8-LUT,32,p,50,2.391590,0.989440,7.122094,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,71.828000,
SQ8,SQ8-LUT,1,p,100,17.301358,0.989440,0.984497,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,39.194000,
SQ8,SQ8-LUT,2,p,100,8.672318,0.989440,1.964080,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,38.902000,
SQ8,SQ8-LUT,4,p,100,4.348876,0.989440,3.916674,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,43.414000,
SQ8,SQ8-LUT,8,p,100,2.652698,0.989440,6.421058,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,45.242000,
SQ8,SQ8-LUT,16,p,100,2.538034,0.989440,6.711150,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,77.010000,
SQ8,SQ8-LUT,32,p,100,2.318804,0.989440,7.345652,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,275.728000,
SQ8,SQ8-LUT,1,p,200,17.376058,1.000000,0.980264,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,77.350000,
SQ8,SQ8-LUT,2,p,200,8.796764,1.000000,1.936295,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,94.466000,
SQ8,SQ8-LUT,4,p,200,4.379020,1.000000,3.889712,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,97.312000,
SQ8,SQ8-LUT,8,p,200,2.724720,1.000000,6.251332,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,105.180000,
SQ8,SQ8-LUT,16,p,200,2.397418,1.000000,7.104780,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,147.492000,
SQ8,SQ8-LUT,32,p,200,2.308882,1.000000,7.377219,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,530.372000,
SQ8,SQ8-LUT,1,p,300,17.456140,1.000000,0.975767,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,157.752000,
SQ8,SQ8-LUT,2,p,300,8.809148,1.000000,1.933573,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,138.314000,
