method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,2,8.757000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,3,8.900000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,4,8.748000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,5,8.712000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,1,8.717000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,2,8.664000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,3,8.680000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,4,8.758000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,5,8.770000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,1,17.407000,1.000000,9.600768,0.042659,17.353000,0.052000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,2,17.412000,1.000000,9.600768,0.042659,17.359000,0.051000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,3,17.490000,1.000000,9.600768,0.042659,17.437000,0.051000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,4,17.285000,1.000000,9.600768,0.042659,17.235000,0.049000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,5,17.066000,1.000000,9.600768,0.042659,17.018000,0.046000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,1,18.006000,1.000000,9.600768,0.042659,17.901000,0.102000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,2,17.646000,1.000000,9.600768,0.042659,17.545000,0.099000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,3,17.665000,1.000000,9.600768,0.042659,17.563000,0.100000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,4,17.599000,1.000000,9.600768,0.042659,17.498000,0.099000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,5,17.644000,1.000000,9.600768,0.042659,17.543000,0.099000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,1,18.121000,1.000000,9.600768,0.042659,17.869000,0.250000,0,0,0,0,0
